TotalDeaths,Carrier,Aircraft,Location,Date
50,Iberia,Convair,"Tangier, Morocco",3/31/1965
54,Alia Royal Jordanian Airlines,Handley,"Al-Dimas, Syria",4/10/1965
121,Pakistan International Airlines,Boeing,"New Cairo, Egypt",5/20/1965
69,Fuerza Aérea,Douglas,[nb 27],11/3/1965
58,American Airlines,Boeing,"Hebron, Kentucky, US",11/8/1965
56,Avianca,Douglas,"Cartagena, Colombia",1/15/1966
117,Air India,Boeing,"Mont Blanc massif, France",1/24/1966
133,All Nippon Airways,Boeing,"Tokyo Bay, Japan",2/4/1966
64,Canadian Pacific Airlines,Douglas,,3/4/1966
124,BOAC,Boeing,"Gotemba, Japan",3/5/1966
83,American Flyers,Lockheed,"Ardmore, Oklahoma, US",4/22/1966
98,Britannia Airways,Bristol,"Komenda, SR Slovenia, Yugoslavia",9/1/1966
50,All Nippon Airways,NAMC,"Seto Inland Sea, off Matsuyama, Shikoku, Japan",11/13/1966
82,TABSO,Ilyushin,"Bratislava, Czechoslovakia",11/24/1966
129,Flying Tiger,Canadair,"Da Nang, Vietnam",12/24/1966
56,Varig,Douglas,"Monrovia, Liberia",3/5/1967
126,Globe,Bristol,"Nicosia, Cyprus",4/20/1967
88,Air Ferry,Douglas,"Mont Canigou, France",6/3/1967
72,British Midland Airways,Canadair,"Stockport, England, UK",6/4/1967
82,Piedmont Airlines Flight 22 andPrivate,Boeing,"Hendersonville, North Carolina, US",7/19/1967
107,Aeroflot,Ilyushin,"Aramil, Russian SFSR, USSR",11/16/1967
70,TWA,Convair,"Hebron, Kentucky, US",11/20/1967
72,Faucett,Douglas,"Cordillera Blanca, Peru",12/8/1967
83,Aeroflot,Ilyushin,"Chunsky District, Russian SFSR, USSR",2/29/1968
63,Air France Flight,Boeing,"La Grande Soufrière volcano, Guadeloupe",3/5/1968
61,Aer Lingus,Vickers,"St George's Channel, off Wexford, Ireland",3/24/1968
123,South African Airways,Boeing,"Windhoek, Namibia (then South West Africa)",4/20/1968
85,Braniff,Lockheed,"Dawson, Texas, US",5/3/1968
58,Pan African,Douglas,"Rivers State, Nigeria",9/28/1968
51,Pan Am,Boeing,"Maiquetía, Venezuela",12/12/1968
50,Ariana Afghan Airlines,Boeing,"Fernhill, England, UK",1/5/1969
155,Viasa,McDonnell,"Maracaibo, Venezuela",3/16/1969
100,United Arab,Ilyushin,"Aswan, Egypt",3/20/1969
53,LOT Polish Airlines,Antonov,"Polica Mtn., Poland",4/2/1969
79,Mexicana,Boeing,"El Carmen, Mexico",6/4/1969
120,Aeroflot Flight 831 and Soviet Air,Ilyushin,"Yukhnovsky, Russian SFSR, USSR",6/23/1969
55,Aeroflot,Antonov,"Dnipropetrovsk, Ukrainian SSR, USSR",8/3/1969
83,Allegheny Airlines Flight 853 andPrivate,McDonnell,"Fairland, Indiana, US",9/9/1969
74,Lloyd Aéreo,Douglas,"Cordillera Kimsa Cruz, Bolivia",9/26/1969
87,Nigeria Airways,Vickers,"Lagos, Nigeria",11/20/1969
62,Air France Flight,Boeing,"Maiquetía, Venezuela",12/4/1969
90,Olympic Airways,Douglas,"Keratea, Greece",12/8/1969
92,Aeroflot,Ilyushin,"Bulungur District, Uzbek SSR, USSR",2/6/1970
102,Dominicana de,McDonnell,"Santo Domingo, Dominican Republic",2/15/1970
