TotalDeaths,Carrier,Aircraft,Location,Date
88,Alaska Airlines,McDonnell,"Anacapa Island, California, US",1/31/2000
131,Air Philippines,Boeing,"Samal, Philippines",4/19/2000
60,Alliance Air,Boeing,"Patna, Bihar, India",7/17/2000
113,Air France,Aérospatiale-BAC,"Gonesse, France",7/25/2000
143,Gulf Air,Airbus,"Persian Gulf, off Al Muharraq, Bahrain",8/23/2000
83,Singapore Airlines,Boeing,"Dayuan District, Taiwan",10/31/2000
57,ASA,Antonov,"Luanda, Angola",11/15/2000
145,Vladivostok Air,Tupolev,"Irkutsk, Russia",7/4/2001
118,SAS Flight 686 andPrivate,McDonnell,"Milan, Italy",10/8/2001
265,American Airlines,Airbus,"Belle Harbor, New York City, New York, U.S.",11/12/2001
94,TAME,Boeing,"Cumbal Volcano, Colombia",1/28/2002
119,Iran Air Tours,Tupolev,"Sarab-e Dowreh, Iran",2/12/2002
129,Air China,Boeing,"Busan, South Korea",4/15/2002
149,EAS Airlines,BAC,"Kano, Nigeria",5/4/2002
112,China Northern Airlines,McDonnell,"Dalian Bay, China",5/7/2002
225,China Airlines,Boeing,"Taiwan Strait, near Penghu Islands, Taiwan",5/25/2002
71,Bashkirian Airlines Flight 2937 and DHL,Tupolev,"Überlingen, Germany",7/1/2002
75,Turkish Airlines,Avro,"Diyarbakır, Turkey",1/8/2003
102,Air Algérie,Boeing,"Tamanrasset, Algeria",3/6/2003
75,UM Airlines,Yakovlev,"Maçka, Trabzon, Turkey",5/26/2003
117,Sudan Airways,Boeing,"Port Sudan, Sudan",7/8/2003
141,UTAGE,Boeing,"Cotonou, Benin",12/25/2003
148,Flash Airlines,Boeing,"Red Sea, off Sharm el-Sheikh, Egypt",1/3/2004
55,China Eastern Airlines,Bombardier,"Baotou, Inner Mongolia, China",11/21/2004
104,Kam Air,Boeing,"Pamir Mts., Afghanistan",2/3/2005
60,Equatorial Express,Antonov,"Baney, Equatorial Guinea",7/16/2005
121,Helios Airways,Boeing,"Grammatiko, Greece",8/14/2005
160,West Caribbean Airways,McDonnell,"Machiques, Venezuela",8/16/2005
149,Mandala Airlines,Boeing,"Medan, Indonesia",9/5/2005
117,Bellview Airlines,Boeing,"Lagos, Nigeria",10/22/2005
108,Sosoliso Airlines,McDonnell,"Port Harcourt, Nigeria",12/10/2005
113,Armavia,Airbus,"Black Sea, off Adler, Russia",5/3/2006
125,Sibir (S7) Airlines,Airbus,"Irkutsk, Russia",7/9/2006
170,Pulkovo,Tupolev,,8/22/2006
154,Gol Transportes Aéreos Flight 1907 and,Boeing,"Peixoto Azevedo, Brazil",9/29/2006
96,ADC Airlines,Boeing,"Abuja, Nigeria",10/29/2006
102,Adam Air Flight,Boeing,"Makassar Strait, Indonesia",1/1/2007
114,Kenya Airways,Boeing,"Douala, Cameroon",5/5/2007
199,TAM Airlines,Airbus,"São Paulo, Brazil",7/17/2007
90,One-Two-GO Airlines,McDonnell,"Phuket, Thailand",9/16/2007
51,Malift,Antonov,"Kinshasa, DR Congo",10/4/2007
57,Atlasjet,McDonnell,"Keçiborlu, Turkey",11/30/2007
154,Spanair,McDonnell,"Madrid, Spain",8/20/2008
65,Iran Aseman Airlines/Itek Air,Boeing,"Bishkek, Kyrgyzstan",8/24/2008
88,Aeroflot-Nord,Boeing,"Perm, Russia",9/14/2008
50,Colgan Air Flight,Bombardier,"Clarence Center, New York, US",2/12/2009
228,Air France,Airbus,Saint Peter and Saint Paul Archipelago,6/1/2009
152,Yemenia,Airbus,"Mozambique Channel off Mitsamiouli, Comoros",6/30/2009
168,Caspian Airlines,Tupolev,"Qazvin, Iran",7/15/2009
90,Ethiopian Airlines,Boeing,"Na'ameh, Lebanon",1/25/2010
103,Afriqiyah Airways,Airbus,"Tripoli, Libya",5/12/2010
158,Air India Express,Boeing,"Mangalore, India",5/22/2010
152,Airblue,Airbus,"Islamabad, Pakistan",7/28/2010
68,Aero Caribbean,ATR,"Guasimal, Cuba",11/4/2010
77,Iran Air,Boeing,"Urmia, Iran",1/9/2011
74,Hewa Bora Airways,Boeing,"Kisangani, DR Congo",7/8/2011
127,Bhoja Air,Boeing,"Islamabad, Pakistan",4/20/2012
159,Dana Air,McDonnell,"Lagos, Nigeria",6/3/2012
50,Tatarstan Airlines,Boeing,"Kazan, Russia",11/17/2013
239,Malaysia Airlines,Boeing,,3/8/2014
116,Air Algérie,McDonnell,"Gossi, Mali",7/24/2014
162,Indonesia AirAsia,Airbus,"Karimata Strait, between Belitung and Borneo, Java Sea, Indonesia",12/28/2014
150,Germanwings,Airbus,"near French Alps, France",3/24/2015
54,Trigana Air,ATR,"Pegunungan Bintang Regency, Papua, Indonesia",8/16/2015
62,Flydubai,Boeing,"Rostov-on-Don, Russia",3/19/2016
66,EgyptAir,Airbus,Mediterranean Sea,5/19/2016
71,LaMia Airlines,Avro,"Medellin, Colombia",11/28/2016
71,Saratov Airlines,Antonov,"near Stepanovskoye, Moscow Oblast, Russia",2/11/2018
66,Iran Aseman Airlines,ATR,"Mount Dena, Zagros Mountains near Semirom, Iran",2/18/2018
51,US-Bangla Airlines,Bombardier,"Kathmandu, Nepal",3/12/2018
112,Cubana de Aviación,Boeing,"Santiago de las Vegas, Cuba",5/18/2018
189,Lion Air,Boeing,"Java Sea, off Tanjungbungin, Karawang Regency, Indonesia",10/29/2018
157,Ethiopian Airlines,Boeing,"Bishoftu, Ethiopia",3/10/2019
