date,manufacturer,carrier,fatalities,location
11/29/1963,Douglas,Trans-Canada Air Lines,118,"Sainte-Thérèse, Quebec, Canada"
12/8/1963,Boeing,Pan Am,81,"Elkton, Maryland, US"
2/25/1964,Douglas,Eastern Air Lines,58,"Lake Pontchartrain, Louisiana, US"
2/29/1964,Bristol,British Eagle International Airlines,83,"Glungezer mountain, Austria"
3/1/1964,Lockheed,Paradise Airlines,85,"Genoa, Nevada, US"
6/20/1964,Curtiss,Civil Air,57,"Jiaoxi, Taiwan"
9/2/1964,Ilyushin,Aeroflot,87,"Yuzhno Sakhalinsk, Russian SFSR, USSR"
10/2/1964,Douglas,Union de Transportes,80,"Mt. Alcazaba, Spain"
11/23/1964,Boeing,TWA,50,"Fiumicino, Italy"
1/4/1965,Ilyushin,Aeroflot,64,"Almaty, Kazakh SSR, USSR"
2/6/1965,Douglas,LAN Chile,87,"San José Volcano, Chile"
2/8/1965,Douglas,Eastern Air Lines,84,"Jones Beach, New York, US"
3/31/1965,Convair,Iberia,50,"Tangier, Morocco"
4/10/1965,Handley,Alia Royal Jordanian Airlines,54,"Al-Dimas, Syria"
5/20/1965,Boeing,Pakistan International Airlines,121,"New Cairo, Egypt"
11/3/1965,Douglas,Fuerza Aérea,69,[nb 27]
11/8/1965,Boeing,American Airlines,58,"Hebron, Kentucky, US"
1/15/1966,Douglas,Avianca,56,"Cartagena, Colombia"
1/24/1966,Boeing,Air India,117,"Mont Blanc massif, France"
2/4/1966,Boeing,All Nippon Airways,133,"Tokyo Bay, Japan"
3/4/1966,Douglas,Canadian Pacific Airlines,64,
3/5/1966,Boeing,BOAC,124,"Gotemba, Japan"
4/22/1966,Lockheed,American Flyers,83,"Ardmore, Oklahoma, US"
9/1/1966,Bristol,Britannia Airways,98,"Komenda, SR Slovenia, Yugoslavia"
11/13/1966,NAMC,All Nippon Airways,50,"Seto Inland Sea, off Matsuyama, Shikoku, Japan"
11/24/1966,Ilyushin,TABSO,82,"Bratislava, Czechoslovakia"
12/24/1966,Canadair,Flying Tiger,129,"Da Nang, Vietnam"
3/5/1967,Douglas,Varig,56,"Monrovia, Liberia"
4/20/1967,Bristol,Globe,126,"Nicosia, Cyprus"
6/3/1967,Douglas,Air Ferry,88,"Mont Canigou, France"
6/4/1967,Canadair,British Midland Airways,72,"Stockport, England, UK"
7/19/1967,Boeing,Piedmont Airlines Flight 22 andPrivate,82,"Hendersonville, North Carolina, US"
11/16/1967,Ilyushin,Aeroflot,107,"Aramil, Russian SFSR, USSR"
11/20/1967,Convair,TWA,70,"Hebron, Kentucky, US"
12/8/1967,Douglas,Faucett,72,"Cordillera Blanca, Peru"
2/29/1968,Ilyushin,Aeroflot,83,"Chunsky District, Russian SFSR, USSR"
3/5/1968,Boeing,Air France Flight,63,"La Grande Soufrière volcano, Guadeloupe"
3/24/1968,Vickers,Aer Lingus,61,"St George's Channel, off Wexford, Ireland"
4/20/1968,Boeing,South African Airways,123,"Windhoek, Namibia (then South West Africa)"
5/3/1968,Lockheed,Braniff,85,"Dawson, Texas, US"
9/28/1968,Douglas,Pan African,58,"Rivers State, Nigeria"
12/12/1968,Boeing,Pan Am,51,"Maiquetía, Venezuela"
1/5/1969,Boeing,Ariana Afghan Airlines,50,"Fernhill, England, UK"
3/16/1969,McDonnell,Viasa,155,"Maracaibo, Venezuela"
3/20/1969,Ilyushin,United Arab,100,"Aswan, Egypt"
4/2/1969,Antonov,LOT Polish Airlines,53,"Polica Mtn., Poland"
6/4/1969,Boeing,Mexicana,79,"El Carmen, Mexico"
6/23/1969,Ilyushin,Aeroflot Flight 831 and Soviet Air,120,"Yukhnovsky, Russian SFSR, USSR"
8/3/1969,Antonov,Aeroflot,55,"Dnipropetrovsk, Ukrainian SSR, USSR"
9/9/1969,McDonnell,Allegheny Airlines Flight 853 andPrivate,83,"Fairland, Indiana, US"
9/26/1969,Douglas,Lloyd Aéreo,74,"Cordillera Kimsa Cruz, Bolivia"
11/20/1969,Vickers,Nigeria Airways,87,"Lagos, Nigeria"
12/4/1969,Boeing,Air France Flight,62,"Maiquetía, Venezuela"
12/8/1969,Douglas,Olympic Airways,90,"Keratea, Greece"
2/6/1970,Ilyushin,Aeroflot,92,"Bulungur District, Uzbek SSR, USSR"
2/15/1970,McDonnell,Dominicana de,102,"Santo Domingo, Dominican Republic"
4/1/1970,Sud,Royal Air,61,"Berrechid, Morocco"
7/3/1970,de,Dan-Air,112,"Les Agudes mountain, Spain"
7/5/1970,McDonnell,Air Canada,109,"Vaughan, Ontario, Canada"
8/9/1970,Lockheed,LANSA,101,"Cusco, Peru"
11/14/1970,McDonnell,Southern Airways,75,"Ceredo, West Virginia, US"
3/31/1971,Antonov,Aeroflot,65,"Lutuhyne, Ukrainian SSR, USSR"
5/23/1971,Tupolev,Aviogenex,78,"Omišalj, SR Croatia, Yugoslavia"
6/6/1971,McDonnell,Hughes Airwest Flight 706 andUS Marine,50,"San Gabriel Mts., near Duarte, California, US"
7/3/1971,NAMC,Toa Domestic Airlines,68,"Hakodate, Japan"
7/25/1971,Tupolev,Aeroflot,97,"Irkutsk, Russian SFSR, USSR"
7/30/1971,Boeing,All Nippon Airways Flight 58,162,"Shizukuishi, Japan"
9/4/1971,Boeing,Alaska Airlines,111,"Juneau, Alaska, US"
10/2/1971,Vickers,British European Airways,63,"Aarsele, Belgium"
11/10/1971,Vickers,Merpati Nusantara Airlines,69,"Mentawai Strait, off Padang, Indonesia"
11/12/1971,Antonov,Aeroflot,52,"Vinnytsia, Ukrainian SSR, USSR"
12/1/1971,Antonov,Aeroflot,57,"Saratov Oblast, Russian SFSR, USSR"
12/24/1971,Lockheed,LANSA,91,"Puerto Inca, Peru"
1/7/1972,Sud,Iberia Airlines,104,"Ibiza, Spain"
3/14/1972,Sud,Sterling Airways,112,"Fujairah, United Arab Emirates"
5/5/1972,McDonnell,Alitalia,115,"Cinisi, Sicily, Italy"
5/18/1972,Antonov,Aeroflot,122,"Kharkiv, Ukrainian SSR, USSR"
6/14/1972,Douglas,Japan Airlines,86,"New Delhi, India"
6/18/1972,Hawker,British European Airways,118,"Staines, United Kingdom"
8/14/1972,Ilyushin,Interflug,156,"Königs Wusterhausen, East Germany"
8/31/1972,Ilyushin,Aeroflot,101,"Verkhneuralsky District, Russian SFSR, USSR"
10/1/1972,Ilyushin,Aeroflot,109,"Black Sea, off Adler, Russian SFSR, USSR"
10/13/1972,Ilyushin,Aeroflot,174,
10/27/1972,Vickers,Air Inter,60,"Noirétable, France"
11/28/1972,McDonnell,Japan Airlines,61,
12/3/1972,Convair,Spantax,155,"San Cristóbal, Tenerife, Canary Islands, Spain"
12/29/1972,Lockheed,Eastern Air Lines,101,"Everglades, near Tamiami, Florida, US"
1/22/1973,Boeing,Nigeria,176,"Kano, Nigeria"
2/19/1973,Tupolev,Aeroflot,66,"Prague, Czechoslovakia"
2/24/1973,Ilyushin,Aeroflot,79,"Khujand, Tajik SSR, USSR"
3/5/1973,McDonnell,Iberia Flight 504 and Spantax,68,"La Planche, France"
4/10/1973,Vickers,Invicta International Airlines,108,"Reinach, Switzerland"
5/11/1973,Ilyushin,Aeroflot,63,"Zharma District, Kazakh SSR, USSR"
7/11/1973,Boeing,Varig,123,"Saulx-les-Chartreux, France"
7/22/1973,Boeing,Pan Am,78,"Papeete, Tahiti, French Polynesia"
7/31/1973,McDonnell,Delta Air Lines,89,"Boston, Massachusetts, US"
8/13/1973,Sud,Aviaco,86,"A Coruña, Spain"
8/18/1973,Antonov,Aeroflot,56,"Neftyanyye Kamni, Azerbaijan"
