date,manufacturer,carrier,fatalities,location
2/24/1999,Tupolev,China Southwest Airlines,61,"Wenzhou, Zhejiang, China"
8/31/1999,Boeing,LAPA,65,"Palermo, Argentina"
10/31/1999,Boeing,EgyptAir,217,"Nantucket, Massachusetts, U.S."
1/30/2000,Airbus,Kenya Airways,169,Gulf of Guineaoff Côte d'Ivoire
1/31/2000,McDonnell,Alaska Airlines,88,"Anacapa Island, California, US"
4/19/2000,Boeing,Air Philippines,131,"Samal, Philippines"
7/17/2000,Boeing,Alliance Air,60,"Patna, Bihar, India"
7/25/2000,Aérospatiale-BAC,Air France,113,"Gonesse, France"
8/23/2000,Airbus,Gulf Air,143,"Persian Gulf, off Al Muharraq, Bahrain"
10/31/2000,Boeing,Singapore Airlines,83,"Dayuan District, Taiwan"
11/15/2000,Antonov,ASA,57,"Luanda, Angola"
7/4/2001,Tupolev,Vladivostok Air,145,"Irkutsk, Russia"
10/8/2001,McDonnell,SAS Flight 686 andPrivate,118,"Milan, Italy"
11/12/2001,Airbus,American Airlines,265,"Belle Harbor, New York City, New York, U.S."
1/28/2002,Boeing,TAME,94,"Cumbal Volcano, Colombia"
2/12/2002,Tupolev,Iran Air Tours,119,"Sarab-e Dowreh, Iran"
4/15/2002,Boeing,Air China,129,"Busan, South Korea"
5/4/2002,BAC,EAS Airlines,149,"Kano, Nigeria"
5/7/2002,McDonnell,China Northern Airlines,112,"Dalian Bay, China"
5/25/2002,Boeing,China Airlines,225,"Taiwan Strait, near Penghu Islands, Taiwan"
7/1/2002,Tupolev,Bashkirian Airlines Flight 2937 and DHL,71,"Überlingen, Germany"
1/8/2003,Avro,Turkish Airlines,75,"Diyarbakır, Turkey"
3/6/2003,Boeing,Air Algérie,102,"Tamanrasset, Algeria"
5/26/2003,Yakovlev,UM Airlines,75,"Maçka, Trabzon, Turkey"
7/8/2003,Boeing,Sudan Airways,117,"Port Sudan, Sudan"
12/25/2003,Boeing,UTAGE,141,"Cotonou, Benin"
1/3/2004,Boeing,Flash Airlines,148,"Red Sea, off Sharm el-Sheikh, Egypt"
11/21/2004,Bombardier,China Eastern Airlines,55,"Baotou, Inner Mongolia, China"
2/3/2005,Boeing,Kam Air,104,"Pamir Mts., Afghanistan"
7/16/2005,Antonov,Equatorial Express,60,"Baney, Equatorial Guinea"
8/14/2005,Boeing,Helios Airways,121,"Grammatiko, Greece"
8/16/2005,McDonnell,West Caribbean Airways,160,"Machiques, Venezuela"
9/5/2005,Boeing,Mandala Airlines,149,"Medan, Indonesia"
10/22/2005,Boeing,Bellview Airlines,117,"Lagos, Nigeria"
12/10/2005,McDonnell,Sosoliso Airlines,108,"Port Harcourt, Nigeria"
5/3/2006,Airbus,Armavia,113,"Black Sea, off Adler, Russia"
7/9/2006,Airbus,Sibir (S7) Airlines,125,"Irkutsk, Russia"
8/22/2006,Tupolev,Pulkovo,170,
9/29/2006,Boeing,Gol Transportes Aéreos Flight 1907 and,154,"Peixoto Azevedo, Brazil"
10/29/2006,Boeing,ADC Airlines,96,"Abuja, Nigeria"
1/1/2007,Boeing,Adam Air Flight,102,"Makassar Strait, Indonesia"
5/5/2007,Boeing,Kenya Airways,114,"Douala, Cameroon"
7/17/2007,Airbus,TAM Airlines,199,"São Paulo, Brazil"
9/16/2007,McDonnell,One-Two-GO Airlines,90,"Phuket, Thailand"
10/4/2007,Antonov,Malift,51,"Kinshasa, DR Congo"
11/30/2007,McDonnell,Atlasjet,57,"Keçiborlu, Turkey"
8/20/2008,McDonnell,Spanair,154,"Madrid, Spain"
8/24/2008,Boeing,Iran Aseman Airlines/Itek Air,65,"Bishkek, Kyrgyzstan"
9/14/2008,Boeing,Aeroflot-Nord,88,"Perm, Russia"
2/12/2009,Bombardier,Colgan Air Flight,50,"Clarence Center, New York, US"
6/1/2009,Airbus,Air France,228,Saint Peter and Saint Paul Archipelago
6/30/2009,Airbus,Yemenia,152,"Mozambique Channel off Mitsamiouli, Comoros"
7/15/2009,Tupolev,Caspian Airlines,168,"Qazvin, Iran"
1/25/2010,Boeing,Ethiopian Airlines,90,"Na'ameh, Lebanon"
5/12/2010,Airbus,Afriqiyah Airways,103,"Tripoli, Libya"
5/22/2010,Boeing,Air India Express,158,"Mangalore, India"
7/28/2010,Airbus,Airblue,152,"Islamabad, Pakistan"
11/4/2010,ATR,Aero Caribbean,68,"Guasimal, Cuba"
1/9/2011,Boeing,Iran Air,77,"Urmia, Iran"
7/8/2011,Boeing,Hewa Bora Airways,74,"Kisangani, DR Congo"
4/20/2012,Boeing,Bhoja Air,127,"Islamabad, Pakistan"
6/3/2012,McDonnell,Dana Air,159,"Lagos, Nigeria"
11/17/2013,Boeing,Tatarstan Airlines,50,"Kazan, Russia"
3/8/2014,Boeing,Malaysia Airlines,239,
7/24/2014,McDonnell,Air Algérie,116,"Gossi, Mali"
12/28/2014,Airbus,Indonesia AirAsia,162,"Karimata Strait, between Belitung and Borneo, Java Sea, Indonesia"
3/24/2015,Airbus,Germanwings,150,"near French Alps, France"
8/16/2015,ATR,Trigana Air,54,"Pegunungan Bintang Regency, Papua, Indonesia"
3/19/2016,Boeing,Flydubai,62,"Rostov-on-Don, Russia"
5/19/2016,Airbus,EgyptAir,66,Mediterranean Sea
11/28/2016,Avro,LaMia Airlines,71,"Medellin, Colombia"
2/11/2018,Antonov,Saratov Airlines,71,"near Stepanovskoye, Moscow Oblast, Russia"
2/18/2018,ATR,Iran Aseman Airlines,66,"Mount Dena, Zagros Mountains near Semirom, Iran"
3/12/2018,Bombardier,US-Bangla Airlines,51,"Kathmandu, Nepal"
5/18/2018,Boeing,Cubana de Aviación,112,"Santiago de las Vegas, Cuba"
10/29/2018,Boeing,Lion Air,189,"Java Sea, off Tanjungbungin, Karawang Regency, Indonesia"
3/10/2019,Boeing,Ethiopian Airlines,157,"Bishoftu, Ethiopia"
